SELECT count(*), s.id, s.shopName
FROM tb_goods_item g
JOIN tb_seller s on g.shopId=s.id
GROUP BY s.id
ORDER BY count(*) desc;

count(*),id,shopName
1,101380346,仙声乐器旗舰店
1,63362254,沃迅家居专营店
1,101685741,bayco拜格旗舰店
1,63459212,好梦连连家居旗舰店
1,63705703,dayjoy家居旗舰店
1,101981740,gabalnara假发旗舰店
1,63828095,爱尚佳家居专营店
1,64067238,金灶世诚专卖店
1,117528064,文启家居旗舰店
1,111143135,诗娅曼迪旗舰店
1,118145726,优美尚川跃专卖店
1,111289148,乐行天下旗舰店
1,118912385,talalay旗舰店
1,111335610,闪迪亚百专卖店
1,122343239,喜芝堂医疗器械旗舰店
1,111609848,好又美食品专营店
1,103597369,卓辰数码旗舰店
1,103714409,唐女旗舰店
1,103777878,wave旗舰店
1,66750362,夏茉旗舰店
1,103892217,Clinique倩碧官方旗舰店
1,103994104,酷斯沃旗舰店
1,66994516,怡游玩具专营店
1,104286023,为你开旗舰店
1,131138808,ford福特犁沃专卖店
1,111723054,雅蜜琪旗舰店
1,111860193,美缔家纺专营店
1,142268452,恒源祥瑞艳专卖店
1,112010201,德裕家居旗舰店
1,143630053,鲜鲜食果食品专营店
1,112117461,亨爵旗舰店
1,112164379,meitoku明德漫嘉专卖店
1,112271605,炊大皇赢聚汇专卖店
1,57299751,HarborHouse家居旗舰店
1,100092984,高哥杰诚专卖店
1,57300502,乐弘保健品专营店
1,100166131,新世家族内衣旗舰店
1,58996371,joyo旗舰店
1,57301185,馨生活家居旗舰店
1,100296923,啄木鸟金貂专卖店
1,59210244,四环运动专营店
1,100477740,淘科运动户外专营店
1,57303505,越景劳防用品专营店
1,59645569,欢畅旗舰店
1,100917046,卡贝锁具旗舰店
1,59874175,梦洁旗舰店
1,60003279,大视野户外专营店
1,110839379,bluetex旗舰店
1,105083438,慕艺家居旗舰店
1,110884686,恬梦莱旗舰店
1,110994337,嘉家家居旗舰店
1,111038368,仟盛檀旗舰店
1,105418140,都柏特旗舰店
1,105470970,佳邺达家居专营店
1,112315609,舒帝旗舰店
1,112360894,澳联弗思特宠物用品专营店
1,107839422,光兵车品专营店
1,112451033,永丽公主旗舰店
1,148481747,巧儿宜安全座椅旗舰店
1,107951026,主妇时代旗舰店
1,112480069,南海康记旗舰店
1,108023892,宠冠宠物用品专营店
1,108086643,踞浒发食品专营店
1,108145868,zoli运动旗舰店
1,67799569,江南银家旗舰店
1,67979732,健元堂旗舰店
1,67370538,晟季乐器专营店
1,68076923,思微数码专营店
1,67464350,朱尔旗舰店
1,68318446,十二街旗舰店
1,68410348,皓杨家居旗舰店
1,67642208,铭佐旗舰店
1,67726412,北极绒家纺旗舰店
1,114833510,花满忆旗舰店
1,108227321,米家设计旗舰店
1,114988876,安琪食品专营店
1,145235396,富光梦起航专卖店
1,115203015,健威人性家具旗舰店
1,145293461,都市牧场旗舰店
1,108323218,堂前燕旗舰店
1,115402491,名爵烟具旗舰店
1,145415878,金煌装潢旗舰店
1,108358802,惟创旗舰店
1,115705665,on旗舰店
1,145645780,长坤医疗器械旗舰店
1,108417430,维奇思家居专营店
1,70145240,沿途车品旗舰店
1,70275715,峰峰云花电器专营店
1,70417821,大视野眼镜专营店
1,57615316,香唯食品专营店
1,70572492,静韵旗舰店
1,57947577,鸿昌贴饰专营店
1,70810204,健将内衣旗舰店
1,58118600,申佳相框旗舰店
1,58522944,诺伊曼旗舰店
1,116283247,midea美的小毛驴专卖店
1,116390308,THEBEAST野兽派官方旗舰店
1,116481024,兰韵乐器专营店
1,106621368,谱乐诗乐器专营店
1,106823600,tmt运动户外旗舰店
1,116628165,罗泰老银匠旗舰店
1,106896045,晶品乐器专营店
1,107002705,你牛我裤旗舰店
1,62609889,豪8印象旗舰店
1,73233060,woll弗欧旗舰店
1,62687034,银意坊旗舰店
1,73308876,巴朗成都专卖店
1,62811971,匠心独韵旗舰店
1,73451116,迷朗旗舰店
1,62929777,戴玉堂旗舰店
1,100058965,海贝数码专营店
1,63084023,四福旗舰店
1,113904454,金之瑞车品专营店
1,114163973,胜马名途专卖店
1,113074939,clipper可利福旗舰店
1,114336558,威巍玩具专营店
1,114488277,卡耐尔车品旗舰店
1,113423639,KATE官方旗舰店
1,113479744,好加旗舰店
1,113770520,冠达玩具专营店
1,102181709,凡家家居专营店
1,64260456,ASUS华硕旗舰店
1,64481511,威佰士旗舰店
1,102436632,livheart旗舰店
1,64808831,顿巴纵队户外旗舰店
1,64997294,七匹狼威派专卖店
1,124198270,gorlde佳德旗舰店
1,109853035,麦番食品专营店
1,126582365,harson汽车服务旗舰店
1,109964191,祺润祥旗舰店
1,110224300,Estee Lauder雅诗兰黛官方旗舰店
1,110297501,botlav旗舰店
1,130242288,友邦集成吊顶旗舰店
1,110407427,龙凤床垫旗舰店
1,104331782,拓朴帝凯专卖店
1,104417738,宏艺珠宝旗舰店
1,68987957,派尼诺旗舰店
1,104573106,beladesign旗舰店
1,69147277,夜愿旗舰店
1,104679459,回力茂禄专卖店
1,69259601,奥义旗舰店
1,104815596,欧梵丽旗舰店
1,69589662,vinocave旗舰店
1,104951485,贝吉萨旗舰店
1,69859942,芬斯狄娜旗舰店
1,108716335,展艺旗舰店
1,108479047,蘑菇堡旗舰店
1,108507375,妙洁美而洁专卖店
1,109371546,牧马人吉普服饰专营店
1,109584445,兵行者户外旗舰店
1,108541569,可瑞儿mycarol母婴旗舰店
1,109726814,名至家居旗舰店
1,108715214,ocsee旗舰店
1,68476217,探露运动户外旗舰店
1,68524467,casio旗舰店
1,68702966,李想旗舰店
1,60853774,喜临门官方旗舰店
1,68797452,七乐康大药房旗舰店
1,61124809,鱼西美屋杂货铺旗舰
1,68904590,aboving旗舰店
1,68929344,东方佳人旗舰店
1,61660498,瑞宝旗舰店
1,103085031,艾派德数码专营店
1,65207368,穆秋服饰旗舰店
1,65466951,猫诚旗舰店
1,103378490,bellroad旗舰店
1,103518178,真谛旗舰店
1,66252734,必艾奇运动专营店
1,103549780,卡修手表专营店
1,66439956,喜得益旗舰店
1,66610351,福万祥旗舰店
1,112628606,东易京盛家居专营店
1,112664074,软程旗舰店
1,112767035,元素家居专营店
1,106005275,百思宜旗舰店
1,106099031,乔奥乔母婴专营店
1,112913084,希尔顿灯具旗舰店
1,106213080,欧兰薇雅旗舰店
1,106244852,第7铺旗舰店
1,71249424,靓伊生假发旗舰店
1,71536653,怡倩内衣旗舰店
1,60175418,姿美堂旗舰店
1,71714526,健民大药房旗舰店
1,60308202,陶瓷故事旗舰店
1,71844664,godiva歌帝梵旗舰店
1,60424078,柠檬树旗舰店
1,60515970,dxracer旗舰店
1,115768658,康全大药房旗舰店
1,115913166,格瑞地板旗舰店
1,107116543,九牧赛骋专卖店
1,116043479,必图喜车品专营店
1,116118205,谱霖斯顿旗舰店
1,107301703,聚尚居家日用专营
1,116187671,奉生堂大药房旗舰店
1,107422464,童泰熙茂专卖店
1,107545491,如歌青品母婴专营店
1,72336999,慈铭旗舰店
1,72457463,盛装舞步旗舰店
1,62063168,公牛电器旗舰店
1,72563273,fancyfix旗舰店
1,62225665,bodeux旗舰店
1,72660785,爱德朗旗舰店
1,62291623,恒源祥爱诺专卖店
